Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,allstar
1368,Dikembe Mutombo,ATL,34.0,218.44,118.38751200000002,Georgetown,Congo,1991,1,4,82,11.5,14.1,1.3,-2.5,0.114,0.308,0.141,0.621,0.054000000000000006,2000,1
1381,Jason Kidd,PHX,27.0,193.04,96.161504,California,USA,1994,1,2,67,14.3,7.2,10.1,5.8,0.041,0.16399999999999998,0.199,0.498,0.395,2000,1
1393,Jerry Stackhouse,DET,25.0,198.12,98.883056,North Carolina,USA,1995,1,3,82,23.6,3.8,4.5,0.0,0.043,0.07200000000000001,0.289,0.545,0.2,2000,1
1403,Gary Payton,SEA,31.0,193.04,81.64656,Oregon State,USA,1990,1,2,82,24.2,6.5,8.9,2.9,0.032,0.139,0.268,0.535,0.368,2000,1
1410,Glenn Robinson,MIL,27.0,200.66,104.32616,Purdue,USA,1994,1,1,81,20.9,6.0,2.4,1.8,0.043,0.149,0.273,0.534,0.112,2000,1
1411,Grant Hill,DET,27.0,203.2,102.0582,Duke,USA,1994,1,3,74,25.8,6.6,5.2,3.7,0.041,0.16399999999999998,0.304,0.565,0.253,2000,1
1413,David Robinson,SAS,34.0,215.9,113.398,Navy,USA,1987,1,1,80,17.8,9.6,1.8,8.5,0.091,0.251,0.26,0.568,0.101,2000,1
1432,Antonio McDyess,DEN,25.0,205.74,99.79024,Alabama,USA,1995,1,2,81,19.1,8.5,2.0,-3.6,0.095,0.183,0.271,0.539,0.108,2000,1
1453,Antonio Davis,TOR,31.0,205.74,104.32616,Texas-El Paso,USA,1990,2,45,79,11.5,8.8,1.3,0.6,0.106,0.213,0.179,0.52,0.066,2000,1
1464,Allan Houston,NYK,29.0,198.12,90.7184,Tennessee,USA,1993,1,11,82,19.7,3.3,2.7,2.6,0.015,0.085,0.24,0.569,0.13,2000,1
1465,Allen Iverson,PHI,25.0,182.88,74.84268,Georgetown,USA,1996,1,1,70,28.4,3.8,4.7,1.2,0.027000000000000003,0.078,0.339,0.496,0.22,2000,1
1466,Alonzo Mourning,MIA,30.0,208.28,118.38751200000002,Georgetown,USA,1992,1,2,79,21.7,9.5,1.6,5.8,0.096,0.212,0.282,0.596,0.086,2000,1
